"Year","Stage","Variable","Coefficient","SE","Z_value","P_value"
"2011","2SRI_Stage2_ANC","anc_4plus",-0.00200219753943417,0.313501586455787,-0.00638656270314135,0.994904294863347
"2011","2SRI_Stage2_ANC","c_section_yes",0.127942198943787,0.10696828044822,1.19607605551554,0.231666880694324
"2011","2SRI_Stage2_ANC","birth_single",-0.882984823557382,0.232446224325522,-3.79866279230604,0.000145478862074004
"2011","2SRI_Stage2_ANC","contraceptive_type",-0.184568464225294,0.036125184950407,-5.10913548203759,3.2363622961091e-07
"2011","2SRI_Stage2_ANC","mother_education",-0.0541584011335285,0.0634409245923516,-0.853682405821333,0.393280985275669
"2011","2SRI_Stage2_ANC","partner_edu",-0.0214850385777741,0.0528359591851451,-0.406636671485177,0.6842748592193
"2011","2SRI_Stage2_ANC","media_exposure",-0.00705273501062365,0.0577533577229208,-0.122118181326531,0.902805423029195
"2011","2SRI_Stage2_ANC","mother_working",0.307617118503268,0.117020490257308,2.62874576774435,0.00857004039869608
"2011","2SRI_Stage2_ANC","pregnancy_terminated",0.207917260703464,0.0923490708110128,2.25142774992241,0.0243584581898833
"2011","2SRI_Stage2_ANC","resid_anc",0.0111613113199125,0.326577077959702,0.034176652536801,0.972736284238942
"2017-2018","2SRI_Stage2_ANC","(Intercept)",-0.534691843426689,0.32049301312223,-1.66834165343495,0.0952479236380323
"2017-2018","2SRI_Stage2_ANC","anc_4plus",0.348670335711086,0.340187028265495,1.02493718672592,0.305392826775852
"2017-2018","2SRI_Stage2_ANC","c_section_yes",-0.150522764256307,0.107180293799859,-1.40438842738556,0.160203215084375
"2017-2018","2SRI_Stage2_ANC","birth_single",-0.716051542271798,0.275856119332248,-2.59574282421253,0.00943866828477842
"2017-2018","2SRI_Stage2_ANC","contraceptive_type",-0.256250781959015,0.0421715053750388,-6.07639636479967,1.22913377055631e-09
"2017-2018","2SRI_Stage2_ANC","mother_education",-0.0937716373411181,0.0752402739374151,-1.24629579923004,0.212655819518347
"2017-2018","2SRI_Stage2_ANC","partner_edu",-0.0704656997023364,0.0626837170580464,-1.12414679616213,0.260950755736585
